1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,3,2,10,1,2,4,4,1,1,2,8,7,7,2
7,7,3,12,11,16,16,11,9,13,13,14,13,7,16,12
12,18,17,12,22,14,21,7,13,25,15,14,26,23,19,24
5,11,12,12,12,13,5,19,13,13,13,16,17,18,9,14
7,5,3,5,7,4,3,7,4,8,5,4,3,1,4,5
2,2,1,0,0,3,3,0,1,0,3,2,0,0,2,0
0,2,2,0,3,0,1,1,3,1,1,1,3,1,1,1
0,0,3,4,1,0,4,1,2,0,0,0,3,2,1,0
1,1,2,5,1,0,0,1,2,0,2,1,2,1,0,0
1,0,0,3,2,0,0,2,4,1,2,3,2,1,1,0
0,0,2,1,1,1,1,1,1,0,1,2,5,0,2,2
1,0,5,1,5,0,0,1,1,0,2,0,1,0,1,1
1,0,0,0,1,0,3,0,0,1,5,2,1,0,0,2
0,2,0,0,5,0,1,0,1,1,1,0,3,2,0,1
1,0,1,1,2,1,1,1,0,0,0,0,3,0,0,0
0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
