1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,4,5,4,0,18,0,6,0,8,7,4,0
20,0,7,0,26,1,8,0,13,2,16,0,16,0,11,0
2,0,1,0,10,0,4,3,0,0,0,0,11,1,4,1
2,2,4,0,4,1,0,0,6,1,0,0,6,4,0,0
4,1,0,1,0,0,0,1,2,1,0,1,0,1,2,0
0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,4,0,2,0,2,0,0,1,0
0,0,0,1,0,0,2,0,0,1,1,1,0,0,1,0
0,0,1,1,0,1,2,2,0,0,0,2,0,0,3,0
0,1,4,1,2,1,3,1,0,0,3,0,0,0,6,0
2,0,5,0,0,0,6,0,1,0,2,1,0,1,1,1
5,0,5,0,0,0,1,1,4,0,2,0,0,0,3,0
3,0,3,0,0,0,0,1,0,0,4,0,0,0,3,0
4,0,5,0,0,0,0,0,0,0,3,0,6,0,2,0
0,0,1,0,0,0,1,0,2,0,6,0,0,0,0,1
4,0,0,0,6,0,4,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2
6,0,0,0,2,0,0,0,3,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
